Title,Author,Series
Punk 57,Penelope Douglas,
Birthday Girl,Penelope Douglas,
Bully,Penelope Douglas,Fall Away
Until Madness Do Us Part,Penelope Douglas,
Corrupt,Penelope Douglas,Devil's Night
Hideaway,Penelope Douglas,Devil's Night
Kill Switch,Penelope Douglas,Devil's Night
Nightfall,Penelope Douglas,Devil's Night
Fire Night,Penelope Douglas,Devil's Night
Deviant King,Rina Kent,Royal Elite
Steel Princess,Rina Kent,Royal Elite
Twisted Kingdom,Rina Kent,Royal Elite
Black Knight,Rina Kent,Royal Elite
Vicious Prince,Rina Kent,Royal Elite
Ruthless Empire,Rina Kent,Royal Elite
Cruel King,Rina Kent,Royal Elite
Den of Vipers,K.A. Knight,
Their Wife,K.A. Knight,
Pack Darling,K.A. Knight,
Her Monsters,K.A. Knight,
The Ritual,Shantel Tessier,L.O.R.D.S.
Sabotage,Shantel Tessier,L.O.R.D.S.
Carnage,Shantel Tessier,L.O.R.D.S.
Brutal Prince,Sophie Lark,Brutal Birthright
Stolen Heir,Sophie Lark,Brutal Birthright
Savage Lover,Sophie Lark,Brutal Birthright
Bloody Heart,Sophie Lark,Brutal Birthright
Broken Vow,Sophie Lark,Brutal Birthright
Heavy Crown,Sophie Lark,Brutal Birthright
Run Posy Run,Cate C. Wells,
Against a Wall,Cate C. Wells,
Hold You Against Me,Cate C. Wells,
Just Like Home,Cate C. Wells,
A Deal with the Elf King,Elise Kova,
A Duet with the Siren Duke,Elise Kova,
A Dance with the Fae Prince,Elise Kova,
Gild,Raven Kennedy,The Plated Prisoner
Glint,Raven Kennedy,The Plated Prisoner
Gleam,Raven Kennedy,The Plated Prisoner
Glow,Raven Kennedy,The Plated Prisoner
Gold,Raven Kennedy,The Plated Prisoner
Goldfinch,Raven Kennedy,The Plated Prisoner
The Serpent and the Wings of Night,Carissa Broadbent,Crowns of Nyaxia
The Ashes and the Star-Cursed King,Carissa Broadbent,Crowns of Nyaxia
Six Scorched Roses,Carissa Broadbent,Crowns of Nyaxia
King of Battle and Blood,Scarlett St. Clair,Adrian X Isolde
Queen of Myth and Monsters,Scarlett St. Clair,Adrian X Isolde
A Touch of Darkness,Scarlett St. Clair,Hades X Persephone
A Touch of Ruin,Scarlett St. Clair,Hades X Persephone
A Touch of Malice,Scarlett St. Clair,Hades X Persephone
A Game of Fate,Scarlett St. Clair,Hades Saga
A Game of Retribution,Scarlett St. Clair,Hades Saga
Ice Planet Barbarians,Ruby Dixon,Ice Planet Barbarians
Barbarian Alien,Ruby Dixon,Ice Planet Barbarians
Barbarian Lover,Ruby Dixon,Ice Planet Barbarians
Barbarian Mine,Ruby Dixon,Ice Planet Barbarians
A Promise of Fire,Amanda Bouchet,Kingmaker Chronicles
Breath of Fire,Amanda Bouchet,Kingmaker Chronicles
Heart on Fire,Amanda Bouchet,Kingmaker Chronicles
The Darkest Drae,Kelly St. Clare,
The Jade Queen,Kelly St. Clare,
A Pack of Blood and Lies,Olivia Wildenstein,
A Pack of Love and Hate,Olivia Wildenstein,
Peaches and Honey,R. Raeta,
Everlong,R. Raeta,
The Fake Out,Stephanie Archer,Vancouver Storm
The Ex Vows,Stephanie Archer,Vancouver Storm
Lights Out,Navessa Allen,
Silver Elite,Dani Francis,
The Knight and the Moth,Rachel Gillig,
Two Twisted Crowns,Rachel Gillig,
One Dark Window,Rachel Gillig,
Fury Bound,Sable Sorensen,
Torn,Elle Thorpe,
Shattered,Elle Thorpe,
Fierce Hearts,Lila Voss,
Whispers in the Dark,Emma Hale,
Love in Translation,Dhara Shah,
Sloppy Margarita Kiss,Jackie Walker,
Sweet Temptation,Jill Sanders,
Sweet Seduction,Jill Sanders,
Plot Twist,Erin La Rosa,
For Butter or Worse,Erin La Rosa,
Hot Pursuit,Mika Lane,
Finding Home,Elle Cruz,
Seaside Dreams,Melissa Foster,
Seaside Hearts,Melissa Foster,
Seaside Sunsets,Melissa Foster,
Hate Notes,Vi Keeland,
Inappropriate,Vi Keeland,
Stuck-Up Suit,Vi Keeland,
Bossman,Vi Keeland,
We Shouldn't,Vi Keeland,
Hate Notes,Penelope Ward,
Cocky Bastard,Penelope Ward,
Neighbor Dearest,Penelope Ward,
RoomHate,Penelope Ward,
Stepbrother Dearest,Penelope Ward,
Tangled,Emma Chase,
Twisted,Emma Chase,
Tamed,Emma Chase,
Tied,Emma Chase,
Kaleidoscope Hearts,Claire Contreras,
Paper Hearts,Claire Contreras,
Vicious,LJ Shen,Sinners of Saint
Defy,LJ Shen,Sinners of Saint
Ruckus,LJ Shen,Sinners of Saint
Scandalous,LJ Shen,Sinners of Saint
Bane,LJ Shen,
Sparrow,LJ Shen,
Very Bad Things,Ilsa Madden-Mills,
Very Wicked Beginnings,Ilsa Madden-Mills,
Very Twisted Things,Ilsa Madden-Mills,
Ruthless King,Meghan March,Mount Trilogy
Defiant Queen,Meghan March,Mount Trilogy
Sinful Empire,Meghan March,Mount Trilogy
The Simple Wild,K.A. Tucker,Simple Wild
Wild at Heart,K.A. Tucker,Simple Wild
Transcend,Jewel E. Ann,
Idle Bloom,Jewel E. Ann,
Welcome to the Dark Side,Giana Darling,
There Are No Saints,Giana Darling,
Priest,Sierra Simone,
Sinner,Sierra Simone,
Saint,Sierra Simone,
Hardwired,Meredith Wild,Hacker
Hardpressed,Meredith Wild,Hacker
Hardline,Meredith Wild,Hacker
Fixed on You,Laurelin Paige,
Found in You,Laurelin Paige,
Forever with You,Laurelin Paige,
Unbreak Me,Lexi Ryan,
Wish I May,Lexi Ryan,
The Initiation,Nikki Sloane,
The Rivalry,Nikki Sloane,
The Obsession,Nikki Sloane,
Powerless,Lauren Roberts,
Reckless,Lauren Roberts,
The Love Hypothesis,Sarah Sprinz,
A Marvellous Light,Freya Marske,
A Restless Truth,Freya Marske,
Harrow Faire,Kathryn Ann Kingsley,
A Dowry of Blood,S.T. Gibson,
Pet,Ann Aguirre,
The Alien's Mate,Zoey Draven,
Twist Me,Anna Zaires,
Capture Me,Anna Zaires,
Keep Me,Anna Zaires,
Addicted,Charlotte Byrd,
Tell Me to Stop,Charlotte Byrd,
Tell Me to Go,Charlotte Byrd,
Perfect Chemistry,Simone Elkeles,
Rules of Attraction,Simone Elkeles,
Dirty Letters,Vi Keeland,
Egomaniac,Vi Keeland,
The Stopover,T.L. Swan,
The Takeover,T.L. Swan,
Mr. Masters,T.L. Swan,
Mr. Spencer,T.L. Swan,
King's Captive,Amber Bardan,
Destroying the Biker,Cassie Alexandra,
Beautiful Disaster,Jamie McGuire,
Walking Disaster,Jamie McGuire,
The Hurricane,R.J. Prescott,
The Aftermath,R.J. Prescott,
Finding Eden,Mia Sheridan,
Archer's Voice,Mia Sheridan,
Kyland,Mia Sheridan,
Most of All You,Mia Sheridan,
Travis,Nicole Edwards,
Ethan,Nicole Edwards,
Beau,Nicole Edwards,
The Ruthless,Natasha Knight,
The Rule,Natasha Knight,
Corrupt,Natasha Knight,
The Hurricane,R.J. Prescott,
The Aftermath,R.J. Prescott,
Finding Eden,Mia Sheridan,
Archer's Voice,Mia Sheridan,
Kyland,Mia Sheridan,
Most of All You,Mia Sheridan,
Travis,Nicole Edwards,
Ethan,Nicole Edwards,
Beau,Nicole Edwards,
The Ruthless,Natasha Knight,
The Rule,Natasha Knight,
Corrupt,Natasha Knight,
The Hurricane,R.J. Prescott,
The Aftermath,R.J. Prescott,
Finding Eden,Mia Sheridan,
Archer's Voice,Mia Sheridan,
Kyland,Mia Sheridan,
Most of All You,Mia Sheridan,
Travis,Nicole Edwards,
Ethan,Nicole Edwards,
Beau,Nicole Edwards,
The Ruthless,Natasha Knight,
The Rule,Natasha Knight,
Corrupt,Natasha Knight,
The Hurricane,R.J. Prescott,
The Aftermath,R.J. Prescott,
Finding Eden,Mia Sheridan,
Archer's Voice,Mia Sheridan,
Kyland,Mia Sheridan,
Most of All You,Mia Sheridan,
Travis,Nicole Edwards,
Ethan,Nicole Edwards,
Beau,Nicole Edwards,
The Ruthless,Natasha Knight,
The Rule,Natasha Knight,
Corrupt,Natasha Knight,
The Hurricane,R.J. Prescott,
The Aftermath,R.J. Prescott,
Finding Eden,Mia Sheridan,
Archer's Voice,Mia Sheridan,
Kyland,Mia Sheridan,
Most of All You,Mia Sheridan,
Travis,Nicole Edwards,
Ethan,Nicole Edwards,
Beau,Nicole Edwards,
The Ruthless,Natasha Knight,
The Rule,Natasha Knight,
Corrupt,Natasha Knight,
The Hurricane,R.J. Prescott,
The Aftermath,R.J. Prescott,
Finding Eden,Mia Sheridan,
Archer's Voice,Mia Sheridan,
Kyland,Mia Sheridan,
Most of All You,Mia Sheridan,
Travis,Nicole Edwards,
Ethan,Nicole Edwards,
Beau,Nicole Edwards,
The Ruthless,Natasha Knight,
The Rule,Natasha Knight,
Corrupt,Natasha Knight,
The Hurricane,R.J. Prescott,
The Aftermath,R.J. Prescott,
Finding Eden,Mia Sheridan,
Archer's Voice,Mia Sheridan,
Kyland,Mia Sheridan,
Most of All You,Mia Sheridan,
Travis,Nicole Edwards,
Ethan,Nicole Edwards,
Beau,Nicole Edwards,
The Ruthless,Natasha Knight,
The Rule,Natasha Knight,
Corrupt,Natasha Knight,
The Hurricane,R.J. Prescott,
The Aftermath,R.J. Prescott,
Finding Eden,Mia Sheridan,
Archer's Voice,Mia Sheridan,
Kyland,Mia Sheridan,
Most of All You,Mia Sheridan,
Travis,Nicole Edwards,
Ethan,Nicole Edwards,
Beau,Nicole Edwards,
The Ruthless,Natasha Knight,
The Rule,Natasha Knight,
Corrupt,Natasha Knight,
The Hurricane,R.J. Prescott,
The Aftermath,R.J. Prescott,
Finding Eden,Mia Sheridan,
Archer's Voice,Mia Sheridan,
Kyland,Mia Sheridan,
Most of All You,Mia Sheridan,
Travis,Nicole Edwards,
Ethan,Nicole Edwards,
Beau,Nicole Edwards,
The Ruthless,Natasha Knight,
The Rule,Natasha Knight,
Corrupt,Natasha Knight,
The Hurricane,R.J. Prescott,
The Aftermath,R.J. Prescott,
Finding Eden,Mia Sheridan,
Archer's Voice,Mia Sheridan,
Kyland,Mia Sheridan,
Most of All You,Mia Sheridan,
Travis,Nicole Edwards,
Ethan,Nicole Edwards,
Beau,Nicole Edwards,
The Ruthless,Natasha Knight,
The Rule,Natasha Knight,
Corrupt,Natasha Knight,
The Hurricane,R.J. Prescott,
The Aftermath,R.J. Prescott,
Finding Eden,Mia Sheridan,
Archer's Voice,Mia Sheridan,
Kyland,Mia Sheridan,
Most of All You,Mia Sheridan,
Travis,Nicole Edwards,
Ethan,Nicole Edwards,
Beau,Nicole Edwards,
The Ruthless,Natasha Knight,
The Rule,Natasha Knight,
Corrupt,Natasha Knight,
The Hurricane,R.J. Prescott,
The Aftermath,R.J. Prescott,
Finding Eden,Mia Sheridan,
Archer's Voice,Mia Sheridan,
Kyland,Mia Sheridan,
Most of All You,Mia Sheridan,
Travis,Nicole Edwards,
Ethan,Nicole Edwards,
Beau,Nicole Edwards,
The Ruthless,Natasha Knight,
The Rule,Natasha Knight,
Corrupt,Natasha Knight,
The Hurricane,R.J. Prescott,
The Aftermath,R.J. Prescott,
Finding Eden,Mia Sheridan,
Archer's Voice,Mia Sheridan,
Kyland,Mia Sheridan,
Most of All You,Mia Sheridan,
Travis,Nicole Edwards,
Ethan,Nicole Edwards,
Beau,Nicole Edwards,
The Ruthless,Natasha Knight,
The Rule,Natasha Knight,
Corrupt,Natasha Knight,
The Hurricane,R.J. Prescott,
The Aftermath,R.J. Prescott,
Finding Eden,Mia Sheridan,
Archer's Voice,Mia Sheridan,
Kyland,Mia Sheridan,
Most of All You,Mia Sheridan,
Travis,Nicole Edwards,
Ethan,Nicole Edwards,
Beau,Nicole Edwards,
The Ruthless,Natasha Knight,
The Rule,Natasha Knight,
Corrupt,Natasha Knight,
The Hurricane,R.J. Prescott,
The Aftermath,R.J. Prescott,
Finding Eden,Mia Sheridan,
Archer's Voice,Mia Sheridan,
Kyland,Mia Sheridan,
Most of All You,Mia Sheridan,
Travis,Nicole Edwards,
Ethan,Nicole Edwards,
Beau,Nicole Edwards,
The Ruthless,Natasha Knight,
The Rule,Natasha Knight,
Corrupt,Natasha Knight,
The Hurricane,R.J. Prescott,
The Aftermath,R.J. Prescott,
Finding Eden,Mia Sheridan,
Archer's Voice,Mia Sheridan,
Kyland,Mia Sheridan,
Most of All You,Mia Sheridan,
Travis,Nicole Edwards,
Ethan,Nicole Edwards,
Beau,Nicole Edwards,
The Ruthless,Natasha Knight,
The Rule,Natasha Knight,
Corrupt,Natasha Knight,
The Hurricane,R.J. Prescott,
The Aftermath,R.J. Prescott,
Finding Eden,Mia Sheridan,
Archer's Voice,Mia Sheridan,
Kyland,Mia Sheridan,
Most of All You,Mia Sheridan,
Travis,Nicole Edwards,
Ethan,Nicole Edwards,
Beau,Nicole Edwards,
The Ruthless,Natasha Knight,
The Rule,Natasha Knight,
Corrupt,Natasha Knight,
The Hurricane,R.J. Prescott,
The Aftermath,R.J. Prescott,
Finding Eden,Mia Sheridan,
Archer's Voice,Mia Sheridan,
Kyland,Mia Sheridan,
Most of All You,Mia Sheridan,
Travis,Nicole Edwards,
Ethan,Nicole Edwards,
Beau,Nicole Edwards,
The Ruthless,Natasha Knight,
The Rule,Natasha Knight,
Corrupt,Natasha Knight,
The Hurricane,R.J. Prescott,
The Aftermath,R.J. Prescott,
Finding Eden,Mia Sheridan,
Archer's Voice,Mia Sheridan,
Kyland,Mia Sheridan,
Most of All You,Mia Sheridan,
Travis,Nicole Edwards,
Ethan,Nicole Edwards,
Beau,Nicole Edwards,
The Ruthless,Natasha Knight,
The Rule,Natasha Knight,
Corrupt,Natasha Knight,
The Hurricane,R.J. Prescott,
The Aftermath,R.J. Prescott,
Finding Eden,Mia Sheridan,
Archer's Voice,Mia Sheridan,
Kyland,Mia Sheridan,
Most of All You,Mia Sheridan,
Travis,Nicole Edwards,
Ethan,Nicole Edwards,
Beau,Nicole Edwards,
The Ruthless,Natasha Knight,
The Rule,Natasha Knight,
Corrupt,Natasha Knight,
The Hurricane,R.J. Prescott,
The Aftermath,R.J. Prescott,
Finding Eden,Mia Sheridan,
Archer's Voice,Mia Sheridan,
Kyland,Mia Sheridan,
Most of All You,Mia Sheridan,
Travis,Nicole Edwards,
Ethan,Nicole Edwards,
Beau,Nicole Edwards,
The Ruthless,Natasha Knight,
The Rule,Natasha Knight,
Corrupt,Natasha Knight,
The Hurricane,R.J. Prescott,
The Aftermath,R.J. Prescott,
Finding Eden,Mia Sheridan,
Archer's Voice,Mia Sheridan,
Kyland,Mia Sheridan,
Most of All You,Mia Sheridan,
Travis,Nicole Edwards,
Ethan,Nicole Edwards,
Beau,Nicole Edwards,
The Ruthless,Natasha Knight,
The Rule,Natasha Knight,
Corrupt,Natasha Knight,
The Hurricane,R.J. Prescott,
The Aftermath,R.J. Prescott,
Finding Eden,Mia Sheridan,
Archer's Voice,Mia Sheridan,
Kyland,Mia Sheridan,
Most of All You,Mia Sheridan,
Travis,Nicole Edwards,
Ethan,Nicole Edwards,
Beau,Nicole Edwards,
The Ruthless,Natasha Knight,
The Rule,Natasha Knight,
Corrupt,Natasha Knight,
The Hurricane,R.J. Prescott,
The Aftermath,R.J. Prescott,
Finding Eden,Mia Sheridan,
Archer's Voice,Mia Sheridan,
Kyland,Mia Sheridan,
Most of All You,Mia Sheridan,
