Title,Author,Series
Punk 57,Penelope Douglas,
Birthday Girl,Penelope Douglas,
Bully,Penelope Douglas,Fall Away
Until Madness Do Us Part,Penelope Douglas,
Corrupt,Penelope Douglas,Devil's Night
Hideaway,Penelope Douglas,Devil's Night
Kill Switch,Penelope Douglas,Devil's Night
Nightfall,Penelope Douglas,Devil's Night
Haunting Adeline,H.D. Carlton,
Hunting Adeline,H.D. Carlton,
Does It Hurt?,H.D. Carlton,
Den of Vipers,K.A. Knight,
Their Wife,K.A. Knight,
Deviant King,Rina Kent,Royal Elite
Steel Princess,Rina Kent,Royal Elite
Twisted Kingdom,Rina Kent,Royal Elite
Black Knight,Rina Kent,Royal Elite
Vicious Prince,Rina Kent,Royal Elite
Icebreaker,Hannah Grace,Maple Hills
Wildfire,Hannah Grace,Maple Hills
Daydream,Hannah Grace,Maple Hills
The Deal,Elle Kennedy,Off-Campus
The Mistake,Elle Kennedy,Off-Campus
The Score,Elle Kennedy,Off-Campus
The Goal,Elle Kennedy,Off-Campus
The Legacy,Elle Kennedy,Off-Campus
Good Girl Complex,Elle Kennedy,
Bad Girl Reputation,Elle Kennedy,
Pucked,Helena Hunting,
The Wall of Winnipeg and Me,Mariana Zapata,
Kulti,Mariana Zapata,
From Lukov with Love,Mariana Zapata,
Verity,Colleen Hoover,
The Ex Hex,Erin Sterling,
The Bodyguard,Katherine Center,
Things You Save in a Fire,Katherine Center,
Happiness for Beginners,Katherine Center,
The Lost and Found Bookshop,Susan Wiggs,
The Night Before,Wendy Walker,
Written in the Stars,Alexandria Bellefleur,
Hang the Moon,Alexandria Bellefleur,
Count Your Lucky Stars,Alexandria Bellefleur,
The Charm Offensive,Alison Cochrun,
Kiss Her Once for Me,Alison Cochrun,
Delilah Green Doesn't Care,Ashley Herring Blake,
Astrid Parker Doesn't Fail,Ashley Herring Blake,
Iris Kelly Doesn't Date,Ashley Herring Blake,
Honey Girl,Morgan Rogers,
Something to Talk About,Meryl Wilsner,
Mistakes Were Made,Meryl Wilsner,
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,
Flawless,Elsie Silver,Chestnut Springs
Heartless,Elsie Silver,Chestnut Springs
Powerless,Elsie Silver,Chestnut Springs
Reckless,Elsie Silver,Chestnut Springs
Hopeless,Elsie Silver,Chestnut Springs
Wait for It,Mariana Zapata,
The Best Thing,Mariana Zapata,
Dear Aarons,Mariana Zapata,
Luna and the Lie,Mariana Zapata,
To All the Boys I've Loved Before,Jenny Han,
P.S. I Still Love You,Jenny Han,
"Always and Forever, Lara Jean",Jenny Han,
The Summer I Turned Pretty,Jenny Han,
It's Not Summer Without You,Jenny Han,
We'll Always Have Summer,Jenny Han,
Anna and the French Kiss,Stephanie Perkins,
Lola and the Boy Next Door,Stephanie Perkins,
Isla and the Happily Ever After,Stephanie Perkins,
Fangirl,Rainbow Rowell,
Eleanor & Park,Rainbow Rowell,
Attachments,Rainbow Rowell,
Landline,Rainbow Rowell,
The Selection,Kiera Cass,The Selection
The Elite,Kiera Cass,The Selection
The One,Kiera Cass,The Selection
The Heir,Kiera Cass,The Selection
The Crown,Kiera Cass,The Selection
Shipped,Angie Hockman,
If I Never Met You,Mhairi McFarlane,
Just Last Night,Mhairi McFarlane,
You Deserve Each Other,Sarah Hogle,
Twice Shy,Sarah Hogle,
Old Flames and New Fortunes,Sarah Hogle,
The Dating Plan,Sara Desai,
Dating Dr. Dil,Nisha Sharma,
The Takeover,T.L. Swan,
The Stopover,T.L. Swan,
The Casanova,T.L. Swan,
The Do-Over,Lynn Painter,
Better Than the Movies,Lynn Painter,
Mr. Wrong Number,Lynn Painter,
The Love Wager,Lynn Painter,
The Unhoneymooners,Christina Lauren,
The Honey-Don't List,Christina Lauren,
Dating You / Hating You,Christina Lauren,
Josh and Hazel's Guide to Not Dating,Christina Lauren,
Roomies,Christina Lauren,
Sweet Filthy Boy,Christina Lauren,
Beautiful Bastard,Christina Lauren,
Beautiful Stranger,Christina Lauren,
Regretting You,Colleen Hoover,
Heart Bones,Colleen Hoover,
Without Merit,Colleen Hoover,
Maybe Someday,Colleen Hoover,
Maybe Not,Colleen Hoover,
Finding Cinderella,Colleen Hoover,
Losing Hope,Colleen Hoover,
Hopeless,Colleen Hoover,
Terms and Conditions,Lauren Asher,Dreamland Billionaires
The Fine Print,Lauren Asher,Dreamland Billionaires
Final Offer,Lauren Asher,Dreamland Billionaires
Throttled,Lauren Asher,Dirty Air
Collided,Lauren Asher,Dirty Air
Wrecked,Lauren Asher,Dirty Air
Redeemed,Lauren Asher,Dirty Air
Fifty Shades of Grey,E.L. James,Fifty Shades
Fifty Shades Darker,E.L. James,Fifty Shades
Fifty Shades Freed,E.L. James,Fifty Shades
Beautiful Disaster,Jamie McGuire,
Walking Disaster,Jamie McGuire,
Something Beautiful,Jamie McGuire,
Twisted Love,Ana Huang,Twisted
Run Posy Run,Cate C. Wells,
Against a Wall,Cate C. Wells,
Dirty Work,Chantal Fernando,
The Thorn Birds,Colleen McCullough,
Love Story,Erich Segal,
The Flame and the Flower,Kathleen E. Woodiwiss,
Shanna,Kathleen E. Woodiwiss,
Ashes in the Wind,Kathleen E. Woodiwiss,
A Rose in Winter,Kathleen E. Woodiwiss,
Come the Morning,Kathleen E. Woodiwiss,
The Wolf and the Dove,Kathleen E. Woodiwiss,
Wuthering Heights,Emily Brontë,
Emma,Jane Austen,
Northanger Abbey,Jane Austen,
Mansfield Park,Jane Austen,
Lady Chatterley's Lover,D.H. Lawrence,
Bridget Jones's Diary,Helen Fielding,
Bridget Jones: The Edge of Reason,Helen Fielding,
The Time Traveler's Wife,Audrey Niffenegger,
Me Before You,Jojo Moyes,
After You,Jojo Moyes,
Still Me,Jojo Moyes,
A Walk to Remember,Nicholas Sparks,
The Last Song,Nicholas Sparks,
Dear John,Nicholas Sparks,
The Lucky One,Nicholas Sparks,
Safe Haven,Nicholas Sparks,
The Best of Me,Nicholas Sparks,
The Longest Ride,Nicholas Sparks,
See Me,Nicholas Sparks,
Two by Two,Nicholas Sparks,
Every Breath,Nicholas Sparks,
The Return,Nicholas Sparks,
Vision in White,Nora Roberts,Bride Quartet
Bed of Roses,Nora Roberts,Bride Quartet
Savor the Moment,Nora Roberts,Bride Quartet
Happy Ever After,Nora Roberts,Bride Quartet
Born in Fire,Nora Roberts,Born In Trilogy
Born in Ice,Nora Roberts,Born In Trilogy
Born in Shame,Nora Roberts,Born In Trilogy
Jewels of the Sun,Nora Roberts,Irish Trilogy
Tears of the Moon,Nora Roberts,Irish Trilogy
Heart of the Sea,Nora Roberts,Irish Trilogy
Dance Upon the Air,Nora Roberts,Three Sisters Island
Heaven and Earth,Nora Roberts,Three Sisters Island
Face the Fire,Nora Roberts,Three Sisters Island
The Shop on Blossom Street,Debbie Macomber,
A Good Yarn,Debbie Macomber,
Susannah's Garden,Debbie Macomber,
Back on Blossom Street,Debbie Macomber,
Twenty Wishes,Debbie Macomber,
Summer on Blossom Street,Debbie Macomber,
Hannah's List,Debbie Macomber,
Morning Glory,LaVyrle Spencer,
Bitter Sweet,LaVyrle Spencer,
Separate Beds,LaVyrle Spencer,
Twice Loved,LaVyrle Spencer,
Hummingbird,LaVyrle Spencer,
The Gamble,LaVyrle Spencer,
Vows,LaVyrle Spencer,
The Hellion,LaVyrle Spencer,
Spring Fancy,LaVyrle Spencer,
Years,LaVyrle Spencer,
Small Town Girl,LaVyrle Spencer,
That Camden Summer,LaVyrle Spencer,
Home Song,LaVyrle Spencer,
Forgiving,LaVyrle Spencer,
November of the Heart,LaVyrle Spencer,
Virgin River,Robyn Carr,Virgin River
Shelter Mountain,Robyn Carr,Virgin River
Whispering Rock,Robyn Carr,Virgin River
A Virgin River Christmas,Robyn Carr,Virgin River
Second Chance Pass,Robyn Carr,Virgin River
Temptation Ridge,Robyn Carr,Virgin River
Paradise Valley,Robyn Carr,Virgin River
Forbidden Falls,Robyn Carr,Virgin River
Angel's Peak,Robyn Carr,Virgin River
Moonlight Road,Robyn Carr,Virgin River
The Apple Orchard,Susan Wiggs,
The Beekeeper's Ball,Susan Wiggs,
The Summer Hideaway,Susan Wiggs,
Fireside,Susan Wiggs,
Lakeshore Christmas,Susan Wiggs,
The Winter Lodge,Susan Wiggs,
Dockside,Susan Wiggs,
Snowfall at Willow Lake,Susan Wiggs,
The Goodbye Quilt,Susan Wiggs,
The Best Man,Kristan Higgins,
The Perfect Match,Kristan Higgins,
Waiting on You,Kristan Higgins,
Somebody to Love,Kristan Higgins,
The Next Best Thing,Kristan Higgins,
All I Ever Wanted,Kristan Higgins,
Catch of the Day,Kristan Higgins,
Fools Rush In,Kristan Higgins,
Too Good to Be True,Kristan Higgins,
Just One of the Guys,Kristan Higgins,
Mr. Perfect,Linda Howard,
Open Season,Linda Howard,
To Die For,Linda Howard,
Drop Dead Gorgeous,Linda Howard,
Cover of Night,Linda Howard,
Cry No More,Linda Howard,
Kiss Me While I Sleep,Linda Howard,
Killing Time,Linda Howard,
Up Close and Dangerous,Linda Howard,
Death Angel,Linda Howard,
Gentle Rogue,Johanna Lindsey,
Keeper of the Heart,Johanna Lindsey,
Angel,Johanna Lindsey,
Prisoner of My Desire,Johanna Lindsey,
Once a Princess,Johanna Lindsey,
Warrior's Woman,Johanna Lindsey,
Man of My Dreams,Johanna Lindsey,
Surrender My Love,Johanna Lindsey,
You Belong to Me,Johanna Lindsey,
Until Forever,Johanna Lindsey,
The Ugly Duchess,Eloisa James,
Three Weeks with Lady X,Eloisa James,
Seven Minutes in Heaven,Eloisa James,
My American Duchess,Eloisa James,
Wilde in Love,Eloisa James,
Too Wilde to Wed,Eloisa James,
Born to Be Wilde,Eloisa James,
Say No to the Duke,Eloisa James,
A Week to Be Wicked,Tessa Dare,
A Lady by Midnight,Tessa Dare,
Beauty and the Blacksmith,Tessa Dare,
Any Duchess Will Do,Tessa Dare,
The Governess Game,Tessa Dare,
The Wallflower Wager,Tessa Dare,
The Duchess Deal,Tessa Dare,
Romancing the Duke,Tessa Dare,
When a Scot Ties the Knot,Tessa Dare,
Do You Want to Start a Scandal,Tessa Dare,
Forbidden,Beverly Jenkins,
Indigo,Beverly Jenkins,
Topaz,Beverly Jenkins,
Through the Storm,Beverly Jenkins,
Always and Forever,Beverly Jenkins,
Something Like Love,Beverly Jenkins,
A Chance at Love,Beverly Jenkins,
Before the Dawn,Beverly Jenkins,
Destiny's Captive,Beverly Jenkins,
Destiny's Surrender,Beverly Jenkins,
Seven Days in June,Tia Williams,
The Perfect Find,Tia Williams,
Pride,Ibi Zoboi,
The Sweetest Remedy,Jane Igharo,
Ties That Tether,Jane Igharo,
Before I Let Go,Kennedy Ryan,Skyland
When You Are Mine,Kennedy Ryan,
The Proposal,Jasmine Guillory,
The Wedding Date,Jasmine Guillory,
The Wedding Party,Jasmine Guillory,
Royal Holiday,Jasmine Guillory,
Party of Two,Jasmine Guillory,
While We Were Dating,Jasmine Guillory,
Drunk on Love,Jasmine Guillory,
Wait,Rina Kent,
Hold,Claire Kent,
Escorted,Claire Kent,
Addicted,Charlotte Byrd,
Tangled,Emma Chase,
Twisted,Emma Chase,
Tamed,Emma Chase,
Tied,Emma Chase,
The Cowboy's Mail Order Bride,Carolyn Brown,
The Last Rodeo,Jennifer Crusie,
"Long, Tall Texans",Diana Palmer,
The Holiday,T.M. Logan,
In a Holidaze,Christina Lauren,
One Day in December,Josie Silver,
The Christmas Sisters,Sarah Morgan,
The Summer of Broken Rules,K.L. Walther,
Tweet Cute,Emma Lord,
The Unhoneymooners,Christina Lauren,
Well Met,Jen DeLuca,
Well Played,Jen DeLuca,
Well Matched,Jen DeLuca,
The Bromance Book Club,Lyssa Kay Adams,
Undercover Bromance,Lyssa Kay Adams,
Crazy Stupid Bromance,Lyssa Kay Adams,
The Ex Hex,Erin Sterling,
The Kiss Curse,Erin Sterling,
The Wedding Witch,Erin Sterling,
Practice Makes Perfect,Sarah Adams,
The Cheat Sheet,Sarah Adams,
The Match,Sarah Adams,
When in Rome,Sarah Adams,
Engagement Season,Kathryn Nolan,
Instant Karma,Marissa Meyer,
The Roughest Draft,Emily Wibberley,
If the Shoe Fits,Julie Murphy,
The Layover,Lacie Waldon,
Love and Other Words,Christina Lauren,
Autoboyography,Christina Lauren,
Sublime,Christina Lauren,
Love and Luck,Jenna Evans Welch,
Love Gelato,Jenna Evans Welch,
Love Hypothesis,Ali Hazelwood,
Not Here to Be Liked,Michelle Quach,
Highly Suspicious and Unfairly Cute,Talia Hibbert,
The Princess Trap,Talia Hibbert,
The Summer of Broken Rules,K.L. Walther,
Tweet Cute,Emma Lord,
The Unhoneymooners,Christina Lauren,
Well Met,Jen DeLuca,
Well Played,Jen DeLuca,
Well Matched,Jen DeLuca,
The Bromance Book Club,Lyssa Kay Adams,
Undercover Bromance,Lyssa Kay Adams,
Crazy Stupid Bromance,Lyssa Kay Adams,
The Ex Hex,Erin Sterling,
The Kiss Curse,Erin Sterling,
The Wedding Witch,Erin Sterling,
Practice Makes Perfect,Sarah Adams,
The Cheat Sheet,Sarah Adams,
The Match,Sarah Adams,
When in Rome,Sarah Adams,
Engagement Season,Kathryn Nolan,
Instant Karma,Marissa Meyer,
The Roughest Draft,Emily Wibberley,
If the Shoe Fits,Julie Murphy,
The Layover,Lacie Waldon,
Love and Other Words,Christina Lauren,
Autoboyography,Christina Lauren,
Sublime,Christina Lauren,
Love and Luck,Jenna Evans Welch,
Love Gelato,Jenna Evans Welch,
Love Hypothesis,Ali Hazelwood,
Not Here to Be Liked,Michelle Quach,
Highly Suspicious and Unfairly Cute,Talia Hibbert,
The Princess Trap,Talia Hibbert,
The Summer of Broken Rules,K.L. Walther,
Tweet Cute,Emma Lord,
The Unhoneymooners,Christina Lauren,
Well Met,Jen DeLuca,
Well Played,Jen DeLuca,
Well Matched,Jen DeLuca,
The Bromance Book Club,Lyssa Kay Adams,
Undercover Bromance,Lyssa Kay Adams,
Crazy Stupid Bromance,Lyssa Kay Adams,
The Ex Hex,Erin Sterling,
The Kiss Curse,Erin Sterling,
The Wedding Witch,Erin Sterling,
Practice Makes Perfect,Sarah Adams,
The Cheat Sheet,Sarah Adams,
The Match,Sarah Adams,
When in Rome,Sarah Adams,
Engagement Season,Kathryn Nolan,
Instant Karma,Marissa Meyer,
The Roughest Draft,Emily Wibberley,
If the Shoe Fits,Julie Murphy,
The Layover,Lacie Waldon,
Love and Other Words,Christina Lauren,
Autoboyography,Christina Lauren,
Sublime,Christina Lauren,
Love and Luck,Jenna Evans Welch,
Love Gelato,Jenna Evans Welch,
Love Hypothesis,Ali Hazelwood,
Not Here to Be Liked,Michelle Quach,
Highly Suspicious and Unfairly Cute,Talia Hibbert,
The Princess Trap,Talia Hibbert,
The Summer of Broken Rules,K.L. Walther,
Tweet Cute,Emma Lord,
The Unhoneymooners,Christina Lauren,
Well Met,Jen DeLuca,
Well Played,Jen DeLuca,
Well Matched,Jen DeLuca,
The Bromance Book Club,Lyssa Kay Adams,
Undercover Bromance,Lyssa Kay Adams,
Crazy Stupid Bromance,Lyssa Kay Adams,
The Ex Hex,Erin Sterling,
The Kiss Curse,Erin Sterling,
The Wedding Witch,Erin Sterling,
Practice Makes Perfect,Sarah Adams,
The Cheat Sheet,Sarah Adams,
The Match,Sarah Adams,
When in Rome,Sarah Adams,
Engagement Season,Kathryn Nolan,
Instant Karma,Marissa Meyer,
The Roughest Draft,Emily Wibberley,
If the Shoe Fits,Julie Murphy,
The Layover,Lacie Waldon,
Love and Other Words,Christina Lauren,
Autoboyography,Christina Lauren,
Sublime,Christina Lauren,
Love and Luck,Jenna Evans Welch,
Love Gelato,Jenna Evans Welch,
Love Hypothesis,Ali Hazelwood,
Not Here to Be Liked,Michelle Quach,
Highly Suspicious and Unfairly Cute,Talia Hibbert,
The Princess Trap,Talia Hibbert,
The Summer of Broken Rules,K.L. Walther,
Tweet Cute,Emma Lord,
The Unhoneymooners,Christina Lauren,
Well Met,Jen DeLuca,
Well Played,Jen DeLuca,
Well Matched,Jen DeLuca,
The Bromance Book Club,Lyssa Kay Adams,
Undercover Bromance,Lyssa Kay Adams,
Crazy Stupid Bromance,Lyssa Kay Adams,
The Ex Hex,Erin Sterling,
The Kiss Curse,Erin Sterling,
The Wedding Witch,Erin Sterling,
Practice Makes Perfect,Sarah Adams,
The Cheat Sheet,Sarah Adams,
The Match,Sarah Adams,
When in Rome,Sarah Adams,
Engagement Season,Kathryn Nolan,
Instant Karma,Marissa Meyer,
The Roughest Draft,Emily Wibberley,
If the Shoe Fits,Julie Murphy,
The Layover,Lacie Waldon,
Love and Other Words,Christina Lauren,
Autoboyography,Christina Lauren,
Sublime,Christina Lauren,
Love and Luck,Jenna Evans Welch,
Love Gelato,Jenna Evans Welch,
Love Hypothesis,Ali Hazelwood,
Not Here to Be Liked,Michelle Quach,
Highly Suspicious and Unfairly Cute,Talia Hibbert,
The Princess Trap,Talia Hibbert,
The Summer of Broken Rules,K.L. Walther,
Tweet Cute,Emma Lord,
The Unhoneymooners,Christina Lauren,
Well Met,Jen DeLuca,
Well Played,Jen DeLuca,
Well Matched,Jen DeLuca,
The Bromance Book Club,Lyssa Kay Adams,
Undercover Bromance,Lyssa Kay Adams,
Crazy Stupid Bromance,Lyssa Kay Adams,
The Ex Hex,Erin Sterling,
The Kiss Curse,Erin Sterling,
The Wedding Witch,Erin Sterling,
Practice Makes Perfect,Sarah Adams,
The Cheat Sheet,Sarah Adams,
The Match,Sarah Adams,
When in Rome,Sarah Adams,
Engagement Season,Kathryn Nolan,
Instant Karma,Marissa Meyer,
The Roughest Draft,Emily Wibberley,
If the Shoe Fits,Julie Murphy,
The Layover,Lacie Waldon,
Love and Other Words,Christina Lauren,
Autoboyography,Christina Lauren,
Sublime,Christina Lauren,
Love and Luck,Jenna Evans Welch,
Love Gelato,Jenna Evans Welch,
Love Hypothesis,Ali Hazelwood,
Not Here to Be Liked,Michelle Quach,
Highly Suspicious and Unfairly Cute,Talia Hibbert,
The Princess Trap,Talia Hibbert,
The Summer of Broken Rules,K.L. Walther,
Tweet Cute,Emma Lord,
The Unhoneymooners,Christina Lauren,
Well Met,Jen DeLuca,
Well Played,Jen DeLuca,
Well Matched,Jen DeLuca,
The Bromance Book Club,Lyssa Kay Adams,
Undercover Bromance,Lyssa Kay Adams,
Crazy Stupid Bromance,Lyssa Kay Adams,
The Ex Hex,Erin Sterling,
The Kiss Curse,Erin Sterling,
The Wedding Witch,Erin Sterling,
Practice Makes Perfect,Sarah Adams,
The Cheat Sheet,Sarah Adams,
The Match,Sarah Adams,
When in Rome,Sarah Adams,
Engagement Season,Kathryn Nolan,
Instant Karma,Marissa Meyer,
The Roughest Draft,Emily Wibberley,
If the Shoe Fits,Julie Murphy,
The Layover,Lacie Waldon,
Love and Other Words,Christina Lauren,
Autoboyography,Christina Lauren,
Sublime,Christina Lauren,
Love and Luck,Jenna Evans Welch,
Love Gelato,Jenna Evans Welch,
Love Hypothesis,Ali Hazelwood,
Not Here to Be Liked,Michelle Quach,
Highly Suspicious and Unfairly Cute,Talia Hibbert,
The Princess Trap,Talia Hibbert,
The Summer of Broken Rules,K.L. Walther,
Tweet Cute,Emma Lord,
The Unhoneymooners,Christina Lauren,
Well Met,Jen DeLuca,
Well Played,Jen DeLuca,
Well Matched,Jen DeLuca,
The Bromance Book Club,Lyssa Kay Adams,
Undercover Bromance,Lyssa Kay Adams,
Crazy Stupid Bromance,Lyssa Kay Adams,
The Ex Hex,Erin Sterling,
The Kiss Curse,Erin Sterling,
The Wedding Witch,Erin Sterling,
Practice Makes Perfect,Sarah Adams,
The Cheat Sheet,Sarah Adams,
The Match,Sarah Adams,
When in Rome,Sarah Adams,
Engagement Season,Kathryn Nolan,
Instant Karma,Marissa Meyer,
The Roughest Draft,Emily Wibberley,
If the Shoe Fits,Julie Murphy,
The Layover,Lacie Waldon,
Love and Other Words,Christina Lauren,
Autoboyography,Christina Lauren,
Sublime,Christina Lauren,
Love and Luck,Jenna Evans Welch,
